"","...1","region","group","fertility","ppgdp","lifeExpF","pctUrban","infantMortality"
"1","Afghanistan","Asia","other",5968000,499,4949000,23,12453500
"2","Albania","Europe","other",1525000,3677.2,8040000,53,1656100
"3","Algeria","Africa","africa",2142000,4473,7500000,67,2145800
"4","American Samoa","NA","NA",NA,NA,NA,NA,1129389
"5","Angola","Africa","africa",5135000,4321.9,5317000,59,9619100
"6","Anguilla","Caribbean","other",2e+06,13750.1,8110000,100,NA
"7","Argentina","Latin Amer","other",2172000,9162.1,7989000,93,1233700
"8","Armenia","Asia","other",1735000,3030.7,7733000,64,2427200
"9","Aruba","Caribbean","other",1671000,22851.5,7775000,47,1468700
"10","Australia","Oceania","oecd",1949000,57118.9,8427000,89,445500
"11","Austria","Europe","oecd",1346000,45158.8,8355000,68,371300
"12","Azerbaijan","Asia","other",2148000,5637.6,7366000,52,3756600
"13","Bahamas","Caribbean","other",1877000,22461.6,7885000,84,1413500
"14","Bahrain","Asia","other",2430000,18184.1,7606000,89,666300
"15","Bangladesh","Asia","other",2157000,670.4,7023000,29,4178600
"16","Barbados","Caribbean","other",1575000,14497.3,8026000,45,1228400
"17","Belarus","Europe","other",1479000,5702,7637000,75,649400
"18","Belgium","Europe","oecd",1835000,43814.8,8281000,97,373900
"19","Belize","Latin Amer","other",2679000,4495.8,7781000,53,1620000
"20","Benin","Africa","africa",5078000,741.1,5866000,42,7667400
"21","Bermuda","Caribbean","other",1760000,92624.7,8230000,100,NA
"22","Bhutan","Asia","other",2258000,2047.2,6984000,35,3799500
"23","Bolivia","Latin Amer","other",3229000,1977.9,6940000,67,4068400
"24","Bosnia and Herzegovina","Europe","other",1134000,4477.7,7840000,49,1269500
"25","Botswana","Africa","africa",2617000,7402.9,5134000,62,3511700
"26","Brazil","Latin Amer","other",1800000,10715.6,7741000,87,1901600
"27","Brunei Darussalam","Asia","other",1984000,32647.6,8064000,76,452900
"28","Bulgaria","Europe","other",1546000,6365.1,7712000,72,9149000
"29","Burkina Faso","Africa","africa",5750000,519.7,5702000,27,70958000
"30","Burundi","Africa","africa",4051000,176.6,5258000,11,94083000
"31","Cambodia","Asia","other",2422000,797.2,6510000,20,52835000
"32","Cameroon","Africa","africa",4287000,1206.6,5356000,59,84915000
"33","Canada","North America","oecd",1691000,46360.9,8349000,81,4926000
"34","Cape Verde","Africa","africa",2279000,3244,7770000,62,18458000
"35","Cayman Islands","Caribbean","other",1600000,57047.9,8380000,100,NA
"36","Central African Republic","Africa","africa",4423000,450.8,5130000,39,95781000
"37","Chad","Africa","africa",5737000,727.4,5161000,28,123940000
"38","Channel Islands","NA","NA",NA,NA,NA,NA,8169000
"39","Chile","Latin Amer","oecd",1832000,11887.7,8235000,89,6792000
"40","China","Asia","other",1559000,4354,7561000,48,19637000
"41","Colombia","Latin Amer","other",2293000,6222.8,7769000,75,16671000
"42","Comoros","Africa","africa",4742000,736.6,6318000,28,62830000
"43","Congo","Africa","africa",4442000,2665.1,5933000,63,66738000
"44","Cook Islands","Oceania","other",2530806,12212.1,7624547,76,11551788
"45","Costa Rica","Latin Amer","other",1812000,7703.8,8199000,65,9172000
"46","Cote dIvoire","Africa","africa",4224000,1154.1,5771000,51,68845000
"47","Croatia","Europe","other",1501000,13819.5,8037000,58,5571000
"48","Cuba","Caribbean","other",1451000,5704.4,8133000,75,4959000
"49","Cyprus","Asia","other",1458000,28364.3,8214000,71,4434000
"50","Czech Republic","Europe","oecd",1501000,18838.8,8100000,74,2997000
"51","Democratic Republic of the Congo","Africa","africa",5485000,200.6,5056000,36,109477000
"52","Denmark","Europe","oecd",1885000,55830.2,8137000,87,3914000
"53","Djibouti","Africa","africa",3589000,1282.6,6004000,76,74950000
"54","Dominica","Caribbean","other",3e+06,7020.8,7820000,67,NA
"55","Dominican Republic","Caribbean","other",2490000,5195.4,7657000,70,21589000
"56","Timor Leste","Asia","other",5918000,706.1,6420000,29,56499000
"57","Ecuador","Latin Amer","other",2393000,4072.6,7891000,68,19070000
"58","Egypt","Africa","africa",2636000,2653.7,7552000,44,22029000
"59","El Salvador","Latin Amer","other",2171000,3425.6,7709000,65,19007000
"60","Equatorial Guinea","Africa","africa",4980000,16852.4,5291000,40,93315000
"61","Eritrea","Africa","africa",4243000,429.1,6441000,22,47508000
"62","Estonia","Europe","oecd",1702000,14135.4,7995000,70,4382000
"63","Ethiopia","Africa","africa",3848000,324.6,6159000,17,62902000
"64","Fiji","Oceania","other",2602000,3545.7,7227000,52,17216000
"65","Finland","Europe","oecd",1875000,44501.7,8328000,85,2783000
"66","France","Europe","oecd",1987000,39545.9,8490000,86,3345000
"67","French Guiana","NA","NA",NA,NA,NA,NA,12714000
"68","French Polynesia","Oceania","other",2033000,24669,7807000,51,7159000
"69","Gabon","Africa","africa",3195000,12468.8,6432000,86,43770000
"70","Gambia","Africa","africa",4689000,579.1,6030000,59,66374000
"71","Georgia","Asia","other",1528000,2680.3,7731000,53,25585000
"72","Germany","Europe","oecd",1457000,39857.1,8299000,74,3487000
"73","Ghana","Africa","africa",3988000,1333.2,6580000,52,43867000
"74","Greece","Europe","oecd",1540000,26503.8,8258000,62,4488000
"75","Greenland","NorthAtlantic","other",2217000,35292.7,7160000,84,NA
"76","Grenada","Caribbean","other",2171000,7429,7772000,40,13042000
"77","Guadeloupe","NA","NA",NA,NA,NA,NA,6725000
"78","Guam","NA","NA",NA,NA,NA,NA,8070000
"79","Guatemala","Latin Amer","other",3840000,2882.3,7510000,50,26269000
"80","Guinea","Africa","africa",5032000,427.5,5639000,36,84176000
"81","Guinea-Bissau","Africa","africa",4877000,539.4,5040000,30,109818000
"82","Guyana","Latin Amer","other",2190000,2996,7345000,29,36830000
"83","Haiti","Caribbean","other",3159000,612.7,6387000,54,58260000
"84","Honduras","Latin Amer","other",2996000,2026.2,7592000,52,23515000
"85","Hong Kong","Asia","other",1137000,31823.7,8635000,100,2026000
"86","Hungary","Europe","oecd",1430000,12884,7847000,68,5304000
"87","Iceland","Europe","other",2098000,39278,8377000,94,2057000
"88","India","Asia","other",2538000,1406.4,6762000,30,47894000
"89","Indonesia","Asia","other",2055000,2949.3,7180000,45,24929000
"90","Iran","Asia","other",1587000,5227.1,7528000,71,23385000
"91","Iraq","Asia","other",4535000,888.5,7260000,66,33293000
"92","Ireland","Europe","oecd",2097000,46220.3,8317000,62,3859000
"93","Israel","Asia","oecd",2909000,29311.6,8419000,92,3347000
"94","Italy","Europe","oecd",1476000,33877.1,8462000,69,3417000
"95","Jamaica","Caribbean","other",2262000,4899,7598000,52,22023000
"96","Japan","Asia","oecd",1418000,43140.9,8712000,67,2549000
"97","Jordan","Asia","other",2889000,4445.3,7517000,79,19140000
"98","Kazakhstan","Asia","other",2481000,9166.7,7284000,59,23716000
"99","Kenya","Africa","africa",4623000,801.8,5916000,23,58142000
"100","Kiribati","Oceania","other",3500000,1468.2,6310000,44,5.2e+07
"101","Kuwait","Asia","other",2251000,45430.4,7589000,98,7563000
"102","Kyrgyzstan","Asia","other",2621000,865.4,7236000,35,32765000
"103","Laos","Asia","other",2543000,1047.6,6942000,34,36809000
"104","Latvia","Europe","other",1506000,10663,7851000,68,6700000
"105","Lebanon","Asia","other",1764000,9283.7,7507000,87,20223000
"106","Lesotho","Africa","africa",3051000,980.7,4811000,28,62103000
"107","Liberia","Africa","africa",5038000,218.6,5859000,48,76853000
"108","Libya","Africa","africa",2410000,11320.8,7786000,78,13248000
"109","Lithuania","Europe","other",1495000,10975.5,7828000,67,5941000
"110","Luxembourg","Europe","oecd",1683000,105095.4,8267000,85,2289000
"111","Macao","Asia","other",1163000,49990.2,8380000,100,4130000
"112","Madagascar","Africa","africa",4493000,421.9,6861000,31,41030000
"113","Malawi","Africa","africa",5968000,357.4,5517000,20,86060000
"114","Malaysia","Asia","other",2572000,8372.8,7686000,73,6880000
"115","Maldives","Asia","other",1668000,4684.5,7870000,41,8070000
"116","Mali","Africa","africa",6117000,598.8,5314000,37,92206000
"117","Malta","Europe","other",1284000,19599.2,8229000,95,5405000
"118","Marshall Islands","Oceania","other",4384466,3069.4,7060000,72,2.1e+07
"119","Martinique","NA","NA",NA,NA,NA,NA,7158000
"120","Mauritania","Africa","africa",4361000,1131.1,6095000,42,69930000
"121","Mauritius","Africa","africa",1590000,7488.3,7689000,42,12112000
"122","Mayotte","NA","NA",NA,NA,NA,NA,5884000
"123","Mexico","Latin Amer","oecd",2227000,9100.7,7964000,78,14146000
"124","Micronesia","Oceania","other",3307000,2678.2,7017000,23,31447000
"125","Moldova","Europe","other",1450000,1625.8,7348000,48,14344000
"126","Mongolia","Asia","other",2446000,2246.7,7283000,63,30705000
"127","Montenegro","Europe","other",1630000,6509.8,7737000,61,7733000
"128","Morocco","Africa","africa",2183000,2865,7486000,59,28502000
"129","Mozambique","Africa","africa",4713000,407.5,5181000,39,77858000
"130","Myanmar","Asia","other",1939000,876.2,6787000,34,44802000
"131","Namibia","Africa","africa",3055000,5124.7,6304000,39,29761000
"132","Nauru","Oceania","other",3300000,6190.1,5710000,100,45800000
"133","Nepal","Asia","other",2587000,534.7,7005000,19,32013000
"134","Neth Antilles","Caribbean","other",1900000,20321.1,7986000,93,12281000
"135","Netherlands","Europe","oecd",1794000,46909.7,8279000,83,4168000
"136","New Caledonia","Oceania","other",2091000,35319.5,8049000,57,4680000
"137","New Zealand","Oceania","oecd",2135000,32372.1,8277000,86,4757000
"138","Nicaragua","Latin Amer","other",2500000,1131.9,7745000,58,18315000
"139","Niger","Africa","africa",6925000,357.7,5577000,17,85820000
"140","Nigeria","Africa","africa",5431000,1239.8,5338000,51,87561000
"141","Niue","NA","NA",NA,NA,NA,NA,7800000
"142","North Korea","Asia","other",1988000,504,7212000,60,25053000
"143","Northern Mariana Islands","NA","NA",NA,NA,NA,NA,4859086
